ftype,bid,bname,city
"Comfort Food",SYHatptm7gpcmYjW1d-o5A,"Baja Fresh Mexican Grill",Scottsdale
"Comfort Food",SYJD-H4UgnTB4V3D2oOGJQ,"Dairy Queen",Montréal
"American and British",SYQZYLs0lWuAjVFdUkdcOg,"Red Robin Gourmet Burgers",Charlotte
"Comfort Food",SYQZYLs0lWuAjVFdUkdcOg,"Red Robin Gourmet Burgers",Charlotte
Halal,SyRxdp5n7wUYgauZKGJmrg,"Istanbul Grille",Pittsburgh
Chinese,SYSBZeffWbScfQsI_e4b0w,"New King Wah Chinese Buffet",Phoenix
Chinese,syt7Au1pb75gqXTlOfN5Zg,"Noodles & Company",Tempe
"Comfort Food",sYufscrC4xb7JfI4Kdp2cg,"Sugarbakers Cafe & Bakery",Scottsdale
"Southeast Asian",sywKS0egWKmb9vJr9a_zUA,"Taj Indian Restaurant",Madison
"Comfort Food",syxUZu1GrJv0LYnV38hMug,"Losbetos Mexican Food",Phoenix
"American and British",sYZt3f1YFlg0ycDMyO-vJw,"The Blue Moose",Scottsdale
"American and British",SyZW-aiN4fHpH18-17mvRA,"Big Apple Deli",Charlotte
"Comfort Food",SyZW-aiN4fHpH18-17mvRA,"Big Apple Deli",Charlotte
"American and British",Sz46GVteyTbGQhA76HmleQ,Griddlecakes,"Las Vegas"
"American and British",sz6liH4acI8N17UCxiheXA,"Campus Burger",Champaign
"Comfort Food",sz6liH4acI8N17UCxiheXA,"Campus Burger",Champaign
"Comfort Food",SZ9JuY-zD0SIrBS1b9Isyg,"Taco Bell",Tempe
"Southeast Asian",sZAzeccYUVPjlkrlMooV-g,"Karey's Kitchen",Phoenix
"Comfort Food",Szc6Wvt1i8VqSAOb2-7BAQ,"Port of Subs",Gilbert
Chinese,SzCMZ664veIZpYp4Tk84Hg,"Szechwan Garden",Chandler
"Comfort Food",szC_5NV4fYgigsztSM79Og,"Bojangles' Famous Chicken 'n Biscuits","Fort Mill"
"Comfort Food",SZE5pwoBUg8n2HSTpJUOtw,"Frites Alors",Montréal
Italian,SzHTdZR3yY1WBYUxkVxmUQ,"Papa J's Centro",Pittsburgh
"Comfort Food",sZKmOw2y3P7i0saJpZCsAA,"Church's Chicken",Avondale
"Comfort Food",Szn4e-sl4aLw-gDzwye7jw,"Panera Bread",Matthews
"Japanese and Korean",sZPX_diXfk41qqVvXxGvMQ,"Tokyo One Express",Charlotte
"Comfort Food",sZRKOmcfYvP57R2YccLDcw,"Jack in the Box",Tolleson
"American and British",SzrOPlW4u7iZKu65JrDp7g,TriBeCa,Edinburgh
"Southeast Asian",SzUtb20AMaMa5u_AFbzX7w,"Red Ribbon Bakeshop",Tempe
"Comfort Food",szvqB3i0U4Z0Cl_wtzlVdQ,"Cook Out",Charlotte
"American and British",SZvYxcvYYVRue9MXcEDjsA,"Coco's Family Restaurant",Phoenix
"American and British",szwdC-vQW2XtJMlVA8Cp1A,"Modern Round",Peoria
"Comfort Food",SzxFquN9shawosPDtlPvTw,"Jack in the Box",Phoenix
"Comfort Food",SzYlhYIN2i2RDYs2YCrygg,"Patron Mexican Grill",Pittsburgh
French,S_2ASYQGNId-xKpXsELvvg,"Une Crèpe",Montréal
Italian,s_4YrTTz1OMAa4UQs-wxYQ,"Tuscan Oven",Glendale
"Southeast Asian",s_5iOOxi7h8lodbVTRaBOQ,"Pho 2000",Montréal
"American and British",s_aCmrCP8QmOHASsOlA33A,"Chicken D'Lish","Las Vegas"
"American and British",s_cKw6m0Fw9jZbobRH0YSg,"Rock Bottom Restaurant & Brewery",Phoenix
"Comfort Food",s_k-3Y_RGk9Wgee6eGAuoQ,Pizzarelli,"Las Vegas"
Indian,S_Kc3W7XJOXoqz7wmlKVvg,"Britannia Spice",Edinburgh
"Southeast Asian",S_Kc3W7XJOXoqz7wmlKVvg,"Britannia Spice",Edinburgh
"Comfort Food",S_R1pls6874mHYKcsxWtEA,"Wolfman Pizza - Charlotte",Charlotte
"Comfort Food",s_rPbgLOpWDgulVn9wd7GQ,"Chuy's Mesquite Broiler",Phoenix
Chinese,S_tTop2PY4VvDw65fMy7KA,"Wok Du Chef",Montréal
"Southeast Asian",S_tTop2PY4VvDw65fMy7KA,"Wok Du Chef",Montréal
Chinese,s_w8ohbsVOevvnis4OZojw,"Lucky Star Chinese & Japanese Buffet","Las Vegas"
"Japanese and Korean",s_w8ohbsVOevvnis4OZojw,"Lucky Star Chinese & Japanese Buffet","Las Vegas"
"Comfort Food",t-9mhkwvld74Eycdvdg59A,"Mangiamo's Pizza",Avondale
"Japanese and Korean",T-D-YoUQlttcF9a2ZyOxfA,"Tokyo Lobby Sushi and Grill",Glendale
Italian,T-FM14EE1tt-94eONQEaVA,Fazoli's,Phoenix
"American and British",t-g86Zfj0iiyqbLzRQdNyg,"Cracker Barrel",Buckeye
"Comfort Food",T-hoctrFbfDULmRty_2UIg,Vapiano,Charlotte
Italian,T-hoctrFbfDULmRty_2UIg,Vapiano,Charlotte
French,t-KxQbLl8Y8FKsXmpxOcdw,"Cajun Seafood Corner",Mesa
"American and British",T-LhjPRqlS7hLGRmSMBbfA,"Blue 32 Sports Grill",Gilbert
"Comfort Food",t-mIt9RHIHDPet4ERv_MRQ,"Moe's Southwest Grill","Las Vegas"
Chinese,t-oEAKaswXxRUjvJrLr-Vw,"Cook On Wok","Las Vegas"
"Comfort Food",t-uJbFctqW2eGtlAIAI60g,"Gasper's Casual Italian Dining and Pizzeria",Phoenix
Italian,t-uJbFctqW2eGtlAIAI60g,"Gasper's Casual Italian Dining and Pizzeria",Phoenix
"Japanese and Korean",T-Z3MX4YJz-iyctqLjx-Cw,"Chez Bong",Montréal
Chinese,t02b8iqce8ZU4y6tpBQXSg,"Panda Express","Las Vegas"
"Comfort Food",t02b8iqce8ZU4y6tpBQXSg,"Panda Express","Las Vegas"
"Comfort Food",T03C1vgkD1lQXeZyBb6VVg,McDonald's,Henderson
"Comfort Food",t0bHagCz2UQB_qfxeAscFw,"Mojo Morning Joint",Scottsdale
Chinese,t0dFDqmTcQJ87rsXAoV2KQ,"Taste Of China",Edinburgh
"Comfort Food",t0dFDqmTcQJ87rsXAoV2KQ,"Taste Of China",Edinburgh
"Comfort Food",T0H1Oqy-fw7WautqgH7hnw,"Panera Bread",Charlotte
"Comfort Food",t0HV1S6uhBxLB5IyZC5hMQ,"La Cocina Economica",Phoenix
"American and British",t0PNqBiITGf_AY6uNsaD5g,"Boomer's Bar","Las Vegas"
"Comfort Food",T0ZGBymIDp-J7BBxNTXxfg,Subway,"Boulder City"
"American and British",T11YSYqwlRDC48V8-W1GRw,"Café Allegro",Phoenix
"Japanese and Korean",T19GPqh8wFWOc8XlDBOejQ,"Raku Sushi",Brossard
"Comfort Food",t1c-Ix7GDbkbcKy_ZO71vw,"Burger King","Las Vegas"
"Comfort Food",t1G4PuzyQvOnB3DqOtV4UQ,"Cadillac To Go","Las Vegas"
"Comfort Food",T1igW_hV0e7wbByOhxSecg,Blimpie,Gilbert
"Comfort Food",t1KqIrAt5KHS2Mz0mt3oQQ,McDonald's,"Las Vegas"
"Comfort Food",t1nrK34B951oYkuMnucm2Q,"Los Juniors Mexican Food",Mesa
"American and British",T1Ow8cCmbgSvKU9UP2zPLA,"Courthouse Bar & Grill","Las Vegas"
Italian,t1QKNGQK0K5VfmyzGV-qcg,"Restaurant Il Mulino",Montréal
"American and British",T1qsvtj50MSe1n4Psvtv7A,"A & L's Family Restaurant","Las Vegas"
"Comfort Food",t1RDIX-MuTqCXxIYvgD6jg,"Koka Loka",Montréal
"Comfort Food",T1ucnWtkgIcoK7LwPZUEuA,"BT's Burger Joint",Charlotte
"Comfort Food",T1yCCJecXAN7dDwO27_0jw,"Jimmy John's",Chandler
"Comfort Food",T2-Wgk2Zb5CTAj7Uq41rLA,PZA,Charlotte
"Comfort Food",T22wHf5v-_FuGvWCuXUvmA,"Farmer Boys","Las Vegas"
"Comfort Food",t24hmANfQe2qgQ8oWXzOlg,Quizno's,"Queen Creek"
"American and British",t259KzpmEzYRJ1bx4RO9sA,"Over Easy",Mesa
"Comfort Food",t29wW3rArvdLayBzmkZb3g,"Little Caesars Pizza",Goodyear
"Comfort Food",T2c6bfzcxAvJ1sEGh1_Vhg,"Peter Piper Pizza",Mesa
"American and British",t2CsZm0bbdel0_3Ffb4jWg,"Menus Restaurant",Charlotte
"Comfort Food",T2cXNmT__TXCtzRG_5t7Ew,Subway,"Las Vegas"
"American and British",t2fYJQX4V7tFezUCaW2Gsw,"Lo-lo's Chicken & Waffles",Phoenix
"Comfort Food",T2K-uBbU56bzGUuxs7ws5A,Quiznos,Phoenix
"Comfort Food",T2NesLFF9Xhlho3iw8i53g,"Felipito's Mexican Food","Las Vegas"
"Comfort Food",t2QVqqi4Mjf4y1uigc9Npg,"Rachel's Kitchen","Las Vegas"
"American and British",T2xiF9kMc_WRH0GeKAXC-g,"Cowboy Cafe",Wickenburg
Italian,t2xjqC2y3Wwx1iGiQ-c6sA,"Valvona & Crolla Vincaffe",Edinburgh
Chinese,t2xSPRbFenItqGNzgEMWcw,"Dragon House Chinese Buffet",Charlotte
"American and British",T2zItRCqolfzSZR2Io0OZg,"Fort Mill Family Restaurant","Fort Mill"
Chinese,t30Ua_mSiClnpBqud84ygw,"Imperial Garden Chinese Buffett",Phoenix
"Comfort Food",T3B7XXR3VIwYPcBd7CFehA,"Olive Garden Italian Restaurant","Las Vegas"
Italian,T3B7XXR3VIwYPcBd7CFehA,"Olive Garden Italian Restaurant","Las Vegas"
"Comfort Food",t3n0IeJZokQNHkBurX-Fmg,"Ste-Catherine & Burger",Montréal
"Comfort Food",t3rAWJwdiBfXPery6nDZHw,"Peppers Sandwich Bar",Edinburgh
"Comfort Food",T49ZvBa6mD4xHSmjHe-ArA,"R & B's Pizza Place",Bellvue
"Comfort Food",T4A-I02jrqPZtW2icgHJPg,"Gennaro's Pizza & Pub",Pittsburgh
Italian,T4A-I02jrqPZtW2icgHJPg,"Gennaro's Pizza & Pub",Pittsburgh
"Comfort Food",t4aP7ksa716XY6S4EsWFqw,"Maui Dog",Phoenix
"Southeast Asian",T4AyBSffvi3prLrw0H2enA,"Prommares Thai Food","Las Vegas"
"American and British",t4D4LssTna6Onhs1z4bAOQ,"Grain De Folie",Montréal
Chinese,T4D7wX6GuCYChwRmser-0A,"The Tong Garden",Pittsburgh
"Comfort Food",T4NYpm-fLUmSKa10pPpi8g,"Jimmy John's",Henderson
"Japanese and Korean",T4ox3wUzFjWvyrjaTRoBbA,"Sushi Ken",Phoenix
"Comfort Food",T4xDWJmncwuJ3P2RPczAfQ,"Olive Garden Italian Restaurant","Queen Creek"
Italian,T4xDWJmncwuJ3P2RPczAfQ,"Olive Garden Italian Restaurant","Queen Creek"
"Comfort Food",T4_ZX8zQq6WC4Nom_Od_yg,Pizzaria,"Las Vegas"
"Comfort Food",T50eTHtbkYMXeFDmVZyKEw,"Café Cravings",Pittsburgh
"Comfort Food",T57zVIOxqr20bdLS3dIp5Q,"Domino's Pizza",Henderson
"Japanese and Korean",T5dnLW29cS6AHHorpx0Mvg,"Koi Japanese Restaurant",Edinburgh
"Southeast Asian",T5dnODMsEXydjfX4lcH2XQ,"Basil Thai Cuisine Ballantyne",Charlotte
Italian,T5HYqRADhAL6VPRAacz74Q,"Niccoli's Italian Grocery & Deli",Phoenix
"American and British",t5l-H2KdY4MQgLDMENz9WQ,"Stool Pigeons Coop & Grill",Charlotte
"Comfort Food",T5LbVJHSyafrUpVpamSifg,"Taco John's",Monona
"Comfort Food",T5pXsUKSwXDd4ApID5QlbQ,"Domino's Pizza Group",Edinburgh
"Comfort Food",t5sGjdKZ5R2bdsTOPG5f-Q,KFC,Maricopa
"Comfort Food",t60cKgEd49NDJiumci4i9g,"Charley's Grilled Subs","Las Vegas"
"Comfort Food",T63pR4m_1UmRgcaapVUSLA,"Crispy Town","Las Vegas"
"Southeast Asian",T63pR4m_1UmRgcaapVUSLA,"Crispy Town","Las Vegas"
Italian,t65wgP7lQrCqxjBpMwOdbw,Sinatra,"Las Vegas"
"Japanese and Korean",T6CfKTuNSaPpiesJLwEtCg,"Shin Yakitori House","Las Vegas"
"American and British",t6cUc_fgZhLvO1kgnOAjaQ,"The Dinner Detective",Charlotte
"Comfort Food",T6dbW2UuWTKar_22zbbiUw,Polibertos,Phoenix
"Comfort Food",t6EzCDJEqB0DVBq4XQv6Ow,"Pizza Factory",Buckeye
"American and British",T6hYDhIZAzPW98_OEbqOSw,"The Handlebar Pub & Grill","Apache Junction"
Chinese,t6lvhOMRI0_AJrEqA7cd3g,"Dragon Chinese Restaurant",Phoenix
"American and British",t6SuvEq9PPVGzNv5bJzDtw,"Bachi Burger","Las Vegas"
"Comfort Food",t6SuvEq9PPVGzNv5bJzDtw,"Bachi Burger","Las Vegas"
"American and British",t7-vFrnBdN6Cn5XU4X3cgw,"The Sizzling Scot",Edinburgh
"Comfort Food",t719u5GZY0yPX4U7t5whrg,"McAlister's Deli",Charlotte
Chinese,t71EHQpKDu_fQ-NsHz9uzw,"Rice Box",Montréal
"Comfort Food",t7492xEXVTDGvuihdcaC1g,"Chaparral Homemade Ice Cream",Wickenburg
Italian,t770rFHYffrc_Rf_y9IFlQ,Stagioni,Pittsburgh
French,T795wfMBGCxsTYif-juSrA,"The French Fancies",Edinburgh
Chinese,t7fOnFBXhAuG74hwQ5G17Q,"Karen Wong Chinese Restaurant",Edinburgh
"Comfort Food",t7fOnFBXhAuG74hwQ5G17Q,"Karen Wong Chinese Restaurant",Edinburgh
"Comfort Food",t7LwErjDk4yBpLzvoiVD9w,"Burger King",Pineville
Halal,t7MXIcgrIBLFviNuKT5oSg,"Golden Restaurant and Bakery",Tempe
"American and British",T7QTFV33o5r92Ny34a_HxQ,"Iron Thunder Saloon",Concord
"Comfort Food",t7wgg1rJ-Nj0UJ8Uhgx8UA,"Los Tacos","Las Vegas"
Chinese,t7YbucHTf5N3NkUih-q4IA,"Golden China","Apache Junction"
"Comfort Food",t803CrM2RLHWktYTw5y_mg,"Jack in the Box",Wickenburg
"Comfort Food",T80zdmoHleRsTbRXJBLoFA,"Ramiro's Taco Shop","Sun Lakes"
"Comfort Food",T81Yc4_Mu6hehSs7F1yZLw,"Salsarita's Fresh Cantina",Charlotte
"American and British",T870Xz8KE_-KFF46KezDvQ,IHOP,Charlotte
"Japanese and Korean",T8C8MqIReykDI6c_vONqQA,"Schlouppe Bistrot Nakamichi",Montréal
"Comfort Food",T8HADNruGR4VzdHOj8-3KQ,"Vinny's Pizzeria","Boulder City"
Italian,T8HADNruGR4VzdHOj8-3KQ,"Vinny's Pizzeria","Boulder City"
Spanish,T8IP3Ns3cZCgdyPqt18Cbw,Pepin,Scottsdale
"Comfort Food",t8NdfN1bOJ5qcz1nMTAf4g,McDonald's,Glendale
"Comfort Food",T8xI1f3_yHzhrquCZh07Wg,"City Square Cafe",Phoenix
"Japanese and Korean",T8Xow6Bn4VxG5E_-kmkvYA,"Sushi Shop",Montréal
"Comfort Food",t8YzSZRPOV8d54NBAlRSMg,Quiznos,Scottsdale
French,T903SkJTdLjDrSwEKH1rgA,"Restaurant A L'aventure",Montréal
"Comfort Food",t90dD3dEs-aiR4CvxCKhMg,Brochette,Montréal
"Comfort Food",T93h3F_Mq8bdEWBEujsEcQ,"TOGO'S Sandwiches",Gilbert
"American and British",T998Ez8h8CeZg1eNVbG77w,"Graduate Food & Pub",Charlotte
"Southeast Asian",t9A1tZsgs7eJrEW2CBmPUg,"The Blue Taj",Charlotte
"Comfort Food",T9BPnYNKtk6B42W0cJJXnA,"Cook E Jar Bakery & Cafe","Casa Grande"
"American and British",T9iBSa4pxYXP129pHlt5Sg,Kai,Chandler
"American and British",t9ioEQ-jVBrKWKrse2xWcg,"Crazy Chicken & Crab",Chandler
"Japanese and Korean",t9ioEQ-jVBrKWKrse2xWcg,"Crazy Chicken & Crab",Chandler
"Japanese and Korean",t9P1Bv-UcXUuCtSp-3uYZA,"Vegas Express Sushi","Las Vegas"
"Comfort Food",t9P58o92xBkI3YaENpXW-A,"Mama's Pizza","Las Vegas"
"Comfort Food",T9WBfNphrozj0Ww4pyAAww,"Heidi's Brooklyn Deli","Las Vegas"
French,t9YAo_xN52UWwS3n4pq6OA,"L'Ancien Chablis",Saint-Lambert
"Comfort Food",T9Z5LBvTq_9LcdQHovLJSQ,Filiberto's,Phoenix
"American and British",Ta-fY1c_E8qHBBDQGyxPkg,"Bistro 24",Phoenix
Italian,tA2DT7CGQPzgA6tTcTkXDw,"Centro Paninoteca",Scottsdale
"Comfort Food",ta5o3_sT1o2AcP0imkjYjA,"Ayala's AZ Kitchen Mexican Cafe",Peoria
"Comfort Food",TABknNqm1dTcG5qg2WJBJw,"Glaze Teriyaki",Madison
"Japanese and Korean",TABknNqm1dTcG5qg2WJBJw,"Glaze Teriyaki",Madison
"Comfort Food",tagVz1QH9qYZ2aea47wAmg,"Firehouse Subs","Las Vegas"
"American and British",tahado6YB_0BlQisrE2SmA,"The Madison Blind",Madison
"Southeast Asian",TAkj6En2E8dnd-yL6H_Q6w,"Pho Dau Bo 7 Restaurant",Kitchener
"Comfort Food",takv9AY8InjnJR_vqryHGg,"Pittsburgh Pretzel Sandwich Shop",Pittsburgh
French,tAkYKScldQakfbGBKwKzsw,"Restaurant Machiavelli",Montréal
"Comfort Food",TakzvjVEcezDYtsmZ1QW_Q,"Taqueria Guadalajara",Madison
"Comfort Food",TAlmdEr0RNWZh9IiUS_BLA,"X-Tapa Joe's",Scottsdale
Chinese,taMVl2KSfMqbInCrBUvJsg,"Panda Express",Peoria
"Comfort Food",taMVl2KSfMqbInCrBUvJsg,"Panda Express",Peoria
Chinese,tanI1kq7vk8zGiNjUCtw0Q,"Taiwan Cafe",Pittsburgh
"Comfort Food",taoabZMEW_q1ZUmt1iPq3w,"Roberto's Taco Shop","North Las Vegas"
"Comfort Food",TaRIGRKP0H_deKJ4HzTJ_Q,"Wildflower Bread Company",Phoenix
"American and British",taURkTxMZjDUcHrvlCVvHg,"Carrow's Family Restaurant","Sun City"
"Comfort Food",taWuzOyQWttjHJubBJttnw,"Panera Bread",Charlotte
"Comfort Food",Tax-j94zbTqxpLtJFG9tgg,"Carl's Jr.","Las Vegas"
"Comfort Food",tAxiv6z83_3T80op5bVEGg,Zaxby's,"Fort Mill"
"American and British",tb24fvNJfHhyKEXkKn12Xw,"Welcome Diner",Phoenix
"Comfort Food",TB4EVbmQ8yc2wZ71auUCNw,"Hot Dog Heaven","Las Vegas"
"Comfort Food",tB5Ov_l-S_RAprPkua6Q3Q,"Nellis AFB Popeye's","Nellis AFB"
"Comfort Food",Tb7hQ37UFA2QFaMwjFieQw,Arby's,Pittsburgh
"Comfort Food",TbaAnzOTX2-boTbAp3e8Qw,"Cafe Rio",Gilbert
"Comfort Food",tBbiAWHcGCSRWy3vBcgmDQ,"Burger King",Pittsburgh
Italian,tBcmjM0Viq0souFulPpLQA,Amarone,Montréal
"American and British",TBCQ8RimkoPynUoMFmxpLg,"Hurricane Grill & Wings",Surprise
"Comfort Food",TBCQ8RimkoPynUoMFmxpLg,"Hurricane Grill & Wings",Surprise
Chinese,tbGpaY8AFjxsZJU4Eubbnw,"New China Buffet",Mesa
Chinese,tbn9K8MHVQoraGnlRNoaCg,"HD Asian Bistro","Fountain Hills"
"Comfort Food",TBqAOlyaTRaFd5sYLAVoQQ,"Papa Murphy's",Mesa
"Southeast Asian",tbrFsCEUuq2S5lraOln4nQ,"5 R Cha Thai",Phoenix
"Comfort Food",tbRu-3NR5za1SEZkszcp5Q,"Federico's Mexican Food",Glendale
"American and British",tbt8TduAgw21YAr8uw_AYQ,"Twenty Highland Tavern",Phoenix
"Comfort Food",TBTaMIaeDw5B79hXDZBtrA,"El Pollo Loco",Phoenix
"Japanese and Korean",TbYOfaq2jnUH8hJB6DfWSw,"Sato & Chan Sushi Szechuan Thai",Laval
"Southeast Asian",TbYOfaq2jnUH8hJB6DfWSw,"Sato & Chan Sushi Szechuan Thai",Laval
"American and British",Tc--MNuXGt6ggLzTX4LnOw,"Mulligan's Border Bar & Grill","Las Vegas"
Italian,tc1kER4tWn3LI99Rk-NVZw,"Spiga Cucina",Scottsdale
"Comfort Food",tc1w6LZUUB9gRMmKYzkIjQ,"Chipotle Mexican Grill","Las Vegas"
"Japanese and Korean",Tc2Obh3_mi2Xqf7kmz5Lmg,"Rock Lobster",Chandler
"Comfort Food",tc6V9KpFw_wAiY9mGXmmOw,"Hula Juice Cafe",Edinburgh
"Comfort Food",tc8XUyEkrO94gEMVYiRsjg,"Chipotle Mexican Grill","Las Vegas"
Chinese,TC9Wn7VRanCdibCh41X5Sw,Chopstick,Charlotte
"American and British",tca9YdoxwUBXuQb1_IEkOw,"Growlers Bar & Grille",Madison
"Comfort Food",TCIVUf1frqLehZbaUnuQzQ,"Filiberto's Mexican Food",Tempe
"Comfort Food",tCoJAPVFsaaO__SSNfweHA,"M4 Burritos",Montréal
Chinese,tcphcsPONrP82kUyvcELoA,"Noodle Asia","Las Vegas"
"Comfort Food",tCpPBS3txiz9dzm5trJusQ,"Baja Fresh Mexican Grill","Las Vegas"
"American and British",TCqkBVN84Ek0oLmZGAX5xA,"Lisa G Cafe and Wine Bar",Phoenix
"Comfort Food",tcQrOolSjtS5gcVcEbmwoQ,"Green Chile Grill",Phoenix
"Comfort Food",TCX33pPlZzWKkqLG07wvUg,"Viva Mercado's","Las Vegas"
"Comfort Food",tCXIc3z5epTRqlZPqhPqsQ,"Nathan's Famous Hot Dogs","Las Vegas"
Chinese,tCYKZXzVg2zBAzmprrZt-g,"Umami Ramen & Dumpling Bar",Madison
"Japanese and Korean",tCYKZXzVg2zBAzmprrZt-g,"Umami Ramen & Dumpling Bar",Madison
Chinese,TD11IPIlFL9sLAWbN9FzdA,"Hot Wok Express",Urbana
Italian,tD3qVZ0v-CiV3PWYOyOZDQ,"Via Marcello",Montréal
Italian,TD99ttUkvbw8kS9P71lGaQ,"Mr B's Bar & Grill","Las Vegas"
Italian,tDbXsDOecrv46J7YR2-FNw,Meatballz,Phoenix
"American and British",tdEG14t8chNUkRUg-d2gJA,"Downtown Rendezvous",Mesa
"Comfort Food",tdEG14t8chNUkRUg-d2gJA,"Downtown Rendezvous",Mesa
"American and British",tdeHd2AVYlEnz9F1UGb84Q,"ZuZu at Hotel Valley Ho",Scottsdale
"Southeast Asian",tdfJIAwKe0vyhyX0pKLxCg,"Pho Plus",Charlotte
"Comfort Food",TdimNHIdNfouPyx6Fc-2EA,"Taqueria Tóluca",Charlotte
"American and British",tdlSjsWl9PYEUBhDXkIvXQ,"Marston's Cafe",Phoenix
"Comfort Food",TDmqRm0evHq6eJjjClT5ag,"Jack in the Box","Las Vegas"
"Comfort Food",tdmV29noi4rRIFkNv7Vmzw,"Tacos Tijuana",Peoria
Halal,TdNHnV80NNtoIRRQX6bunw,"Trip de Bouffe",Montréal
Italian,TDNiPnxtXA4i5W2kj5zeTg,"Buon Giorno Cafe",Pittsburgh
"Southeast Asian",tdqZK2DXrmX5jyddy4uxmg,"Lanna Thai",Musselburgh
"Comfort Food",TDvEN9lAzFpk_iKMDu2AOg,"Pizza Motta",Montréal
"Comfort Food",TDvqljD6XbP6nWZBfy1OBg,Subway,Scottsdale
Halal,tD_DOWa2DitPuENvzaO0-Q,"Cafe Truva",Edinburgh
"Comfort Food",te-5x-HhFgSWwBkGSG33Kg,"Backyard Taco",Mesa
"American and British",Te4VWxW8ceXp86D2fG5SOg,Fatburger,Henderson
"Comfort Food",Te4VWxW8ceXp86D2fG5SOg,Fatburger,Henderson
"Comfort Food",Te5dA0G1-SWKGS8nuJp0Tg,"Mundo Restaurant","Las Vegas"
Spanish,Te5dA0G1-SWKGS8nuJp0Tg,"Mundo Restaurant","Las Vegas"
"American and British",tedVLludWmEn2h4_MYgHXQ,"Hwy 55 Burgers Shakes & Fries",Charlotte
"Comfort Food",tedVLludWmEn2h4_MYgHXQ,"Hwy 55 Burgers Shakes & Fries",Charlotte
French,TEevIa5IonzYktNZkRcUvQ,"Restaurant D'artagnan Crepes Et Fondues",Terrebonne
"American and British",TehSM5JrMRikSnjnnfulbw,"Tonto Bar & Grill","Cave Creek"
"Comfort Food",TEI2iTi3qL3r0yz2Ha5iLQ,McDonald's,Charlotte
"Comfort Food",TEiuiQi_0W3goZ7x9e_ILw,"San Felipe's Cantina",Scottsdale
"Comfort Food",TEKCIR7IZWOdQ2ULc3Xyfg,Portofino's,Crafton
"Japanese and Korean",tEMavUDVVAsfaPKMwzRHZA,"Restaurant Hana",Pittsburgh
"Comfort Food",TepT2VeFe3tMYdAiqj12vg,Subway,Phoenix
"Comfort Food",teqQdbM2_U-8_UYEGV-gGg,"Viva Salsa","Las Vegas"
"Comfort Food",TerqRmnDLmqwNFyHVLbmkg,"Jet's Pizza",Charlotte
"American and British",teuMyRZIPurYkSLMCEzLyw,"Graze Desert Grille",Scottsdale
"Comfort Food",teuV97i82bhr5MaBj6rwyg,"Hungry Howie's Pizza",Glendale
"Comfort Food",tEvGNTPLV01OiUt_SKn2Ww,"Jack-In-the Box",Phoenix
"Comfort Food",teZUXAtO9nVlN-240WdOqA,"Two Gals From Cal","Boulder City"
"American and British",Te_i6EWlOJVdQpuELBABhg,Denny's,Goodyear
"American and British",tf5qrrarVIVYOy0evKrayA,"Tavern Grille Scottsdale",Scottsdale
"American and British",TFAlHUtChUWGVvloeP6h6Q,"The Pantry",Edinburgh
"American and British",tfcgb7IA_xjiuJonxpA4-A,"Fuku Burger","Las Vegas"
"Comfort Food",tfcgb7IA_xjiuJonxpA4-A,"Fuku Burger","Las Vegas"
"American and British",TFCPmrQj9PD1WvnZGYO85Q,Chestnut,Phoenix
"Japanese and Korean",TFCPmrQj9PD1WvnZGYO85Q,Chestnut,Phoenix
"Comfort Food",tfeq5hppvJgn7msDy12nmw,Bottega,Laval
Italian,tfeq5hppvJgn7msDy12nmw,Bottega,Laval
"American and British",TfNCWOnzCF47jM7RyPGNhA,"John's Family Restaurant",Charlotte
"American and British",TFnZEuATbs0jRqr3Z_t6Pg,"Long John Silvers",Phoenix
"Southeast Asian",TfPyjTyM0ENq1i_kOnul0w,"Spice South",Charlotte
Italian,TFQNH96S5d8KhQXk9V12ig,"Isabella's Kitchen",Scottsdale
"American and British",TfTlOE6h9E9o34dEkw9L_w,"The Rose and Crown",Phoenix
French,tFU2Js_nbIZOrnKfYJYBBg,"Bouchon at The Venetian","Las Vegas"
"American and British",tfVKzEDu8XYyP8KO1dsNvQ,"Two Hippies Gnarly Burger Joint",Phoenix
"Comfort Food",tfVKzEDu8XYyP8KO1dsNvQ,"Two Hippies Gnarly Burger Joint",Phoenix
"Comfort Food",TFvvI_MxoTg-rNHpvh3QeA,"Schenley Park Cafe",Pittsburgh
Chinese,TfvWSIAMFZ9zI3y2-K6wOA,"The Dragon Chinese Cuisine",Munhall
"Comfort Food",TfW-f8ZtkS5XpIWe9GNZ1g,Wendy's,"Las Vegas"
Italian,tFWuvLflDDvTdypS_vdfNA,"Mia Bella Cafe","Las Vegas"
"American and British",tFwZL_7idddle8Rl1CAPQA,"Chuck's Grill",Charlotte
"American and British",tfxc1VuVa8_WEz_rcSgXGQ,"Harmony Hall - Carowinds Dining",Charlotte
Chinese,TFXi2C_O5FYLoVXEANJC8A,"Mr Panino",Waterloo
"Comfort Food",tfxveeZkRB1N5o23jLrSxg,"Burger King",Tempe
"Comfort Food",tfYwDvXmBU-oBbuxujSnOA,"Twisted Rose Winery and Eatery",Scottsdale
French,Tg0D45xHJBN0jOMq_v04XA,"Kelly's Cajun Grill",Tempe
"American and British",tg1xGdWUMX02XD6AVb-kxw,"Gray's Tied House",Verona
"Comfort Food",tg88uNQ_Qeq3zopVmBY5dA,"Crostini Sandwiches",Madison
